pair,entry_time,exit_time,entry_price,exit_price,profit_pct,profit_usd,hold_hours,max_profit_pct,max_adverse_pct,exit_reason,entry_tag
VELVET/USDT,2026-06-24T18:50:00+00:00,2026-06-25T06:50:00+00:00,0.48034,0.48962,-2.3358287879418724,-0.023358287879418724,12.0,2.667464626170224,3.174834492234657,stale_no_followthrough,demon_fade
BAS/USDT,2026-06-25T08:55:00+00:00,2026-06-25T09:00:00+00:00,0.048612,0.05152872000000001,-6.412000000000005,-0.06412000000000005,0.08333333333333333,0.0,9.577882004443339,stop_or_ratchet,demon_fade
BLUAI/USDT,2026-06-26T04:10:00+00:00,2026-06-27T04:10:00+00:00,0.015588,0.014708,5.256658968437226,0.052566589684372264,24.0,8.250000000000002,0.7954837054144237,time_take_profit,demon_fade
HIGH/USDT,2026-06-29T04:30:00+00:00,2026-06-29T05:15:00+00:00,0.03689,0.0391034,-6.412000000000016,-0.06412000000000016,0.75,2.1035150844173733,9.758742206560033,stop_or_ratchet,demon_fade
BAS/USDT,2026-06-29T11:25:00+00:00,2026-06-29T12:20:00+00:00,0.047368,0.050210080000000004,-6.412000000000005,-0.06412000000000005,0.9166666666666666,1.4021792648727383,8.685188312784998,stop_or_ratchet,demon_fade
