pair,entry_time,entry_price,stake,amount,score,cats,tag,triggered,max_rate,peak_profit_pct,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours,version
ZORA_USDT,2026-06-26 00:20:00+00:00,0.007484,1.0,133.35114911811866,86.0,4,demon_strong,"A1,A2,B1,B2,C2,D1,D2,",0.007506,0.29396044895776924,2026-06-26 12:35:00+00:00,0.007245,time_dud,-3.1934794227685797,-0.03387092463923036,12.25,v1_base
HFT_USDT,2026-06-26 06:30:00+00:00,0.009671,1.0,103.19511942922138,84.0,4,demon_strong,"A1,A3,B1,B2,C2,D1,D2,",0.010403,7.569020783786579,2026-06-26 18:30:00+00:00,0.009048,time_dud,-6.4419398200806555,-0.06629055940440498,12.0,v1_base
VELVET_USDT,2026-06-26 12:35:00+00:00,0.57273,1.0,1.7425313847711836,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.95841,67.34063171127758,2026-06-27 07:15:00+00:00,0.8678,pullback,51.5199133972378,0.5121687357044333,18.666666666666668,v1_base
TROLL_USDT,2026-06-26 08:30:00+00:00,0.05484,1.0,18.198395331874544,80.0,4,demon_strong,"A1,A3,B1,B2,D1,D2,",0.05839,6.473377097009478,2026-06-27 09:15:00+00:00,0.05504,time_stale,0.36469730123996863,0.001639679066374855,24.75,v1_base
AAVE_USDT,2026-06-24 11:15:00+00:00,73.87,1.0,0.013510220657912549,76.0,4,demon_buy,"A2,A3,B1,B2,D2,",97.85,32.46243400568565,2026-06-27 11:15:00+00:00,95.31,time_max,29.023961012589677,0.2876591309056451,72.0,v1_base
VELVET_USDT,2026-06-27 09:15:00+00:00,1.01879,1.0,0.9795934392760038,80.0,4,demon_strong,"A1,A3,B1,C2,D1,D2,",1.47039,44.32709390551536,2026-06-27 14:10:00+00:00,1.34548,pullback,32.066471009727216,0.3180233806770776,4.916666666666667,v1_base
BAN_USDT,2026-06-26 18:30:00+00:00,0.074,1.0,13.486486486486488,72.0,4,demon_buy,"A2,A3,B1,D2,",0.07577,2.3918918918919023,2026-06-27 18:30:00+00:00,0.07297,time_stale,-1.3918918918918963,-0.01589108108108106,24.0,v1_base
BSV_USDT,2026-06-27 07:15:00+00:00,13.33,1.0,0.07486871717929482,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",13.33,0.0,2026-06-27 19:15:00+00:00,12.62,time_dud,-5.3263315828957305,-0.05515678919729938,12.0,v1_base
BIO_USDT,2026-06-27 11:15:00+00:00,0.02956,1.0,33.76184032476319,74.0,4,demon_buy,"A2,A3,B2,C2,D2,",0.03006,1.691474966170502,2026-06-27 23:20:00+00:00,0.02864,time_dud,-3.1123139377537234,-0.03306089309878213,12.083333333333334,v1_base
SLX_USDT,2026-06-27 18:30:00+00:00,0.56697,1.0,1.7602342275605412,80.0,4,demon_strong,"A1,A2,A3,B2,C2,D2,",0.58909,3.9014409933506236,2026-06-28 01:25:00+00:00,0.5174,time_sharp_drop,-8.74296700001764,-0.08925481066017604,6.916666666666667,v1_base
