tickets,stake,trades,wins,losses,win_rate,avg_win,avg_loss,profit_ratio,total_net,roi,final_cap,commission,unique_coins,max_win,max_loss,hits_gt_10pct,hits_gt_20pct
20,1.0,92,22,70,23.91304347826087,12.674657860109278,-3.1440882995480752,4.031266507982968,0.4023877937013072,2.011938968506536,20.218387793701254,0.3691751258390807,72,43.220035778175294,-9.463379260333578,11,4
40,0.5,92,22,70,23.91304347826087,12.674657860109278,-3.1440882995480752,4.031266507982968,0.2011938968506536,1.005969484253268,20.109193896850652,0.18458756291954034,72,43.220035778175294,-9.463379260333578,11,4
60,0.3333333333333333,92,22,70,23.91304347826087,12.674657860109278,-3.1440882995480752,4.031266507982968,0.1341292645671024,0.670646322835512,20.072795931233788,0.12305837527969353,72,43.220035778175294,-9.463379260333578,11,4
80,0.25,92,22,70,23.91304347826087,12.674657860109278,-3.1440882995480752,4.031266507982968,0.1005969484253268,0.502984742126634,20.05459694842544,0.09229378145977017,72,43.220035778175294,-9.463379260333578,11,4
