feature,moji_mean,moji_median,control_mean,control_median,diff_pct,direction
sma_slope_pct,2.309326749752896,2.4797635873056496,-0.0768122939932216,0.054852320675113496,3106.4546047234126,+
pre_change_pct,2.7673564318635338,3.5555251078988848,0.32219531836253035,-0.25886387429935764,758.9064688859746,+
vol_concentration,0.2407477475630214,0.20569390948714633,0.15612205366278922,0.14253070637813375,54.20483007674027,+
volume_ratio,1.749007471228537,1.024726430976431,1.3377219361713342,0.9668575302929995,30.745218713713747,+
pre_range_pct,9.67614025876696,6.923682140047209,11.84127063291411,9.300077712709026,18.284611856846958,-
pre_high,1.0158636939999999,0.08241,1.1483119036363636,0.084275,11.534166737881884,-
pre_close,1.0001727056923078,0.08152,1.1265747624242424,0.080425,11.220032699821344,-
pre_low,0.9277450061538461,0.07866,1.0435363696969697,0.078815,11.096054426617444,-
pre_volatility,2.398421166248961,1.6184133112667398,2.6101797167970817,1.9568022743271767,8.112795804266181,-
staircase_score,0.19692307692307687,0.2,0.18484848484848485,0.2,6.532156368221914,+
