n_bars,pre_open,pre_close,pre_change_pct,pre_high,pre_low,pre_range_pct,pre_volatility,volume_ratio,sma_slope_pct,staircase_score,vol_concentration,symbol,pump_day,max_gain_pct,timeframe
6,0.06913,0.07252,4.90380442644294,0.07252,0.06788,6.83559222156748,1.6086181763474423,5.8297733886117244,2.2221151065265676,0,0.843494948405422,AIN_USDT,2026-06-25,37.91970281468783,1h
6,0.0857,0.09518,11.06184364060677,0.09653,0.08501,13.551346900364667,2.1294640226724715,1.6620013426815616,6.8221037696054045,0,0.4944014149437931,AIN_USDT,2026-06-26,21.746431570109152,1h
6,0.04963,0.04855,-2.1761031634092234,0.05012,0.04648,7.831325301204814,0.5923244331666527,0.4774726221589007,-1.7091716573581768,0,0.229236423393834,AIOT_USDT,2026-06-30,29.347162904209895,1h
6,0.031698,0.032418,2.2714366837024587,0.032751,0.030945,5.836160930683477,2.1423983485819704,3.2461751402654535,1.5673746741313839,0,0.6389962513679015,BAS_USDT,2026-06-24,54.55318077371022,1h
6,0.037846,0.040602,7.282143423347254,0.04244,0.037449,13.32745867713422,3.432575314665763,0.23184690156108312,2.6474366944340795,0,0.12282099490564202,BAS_USDT,2026-06-25,39.81923048113654,1h
6,0.041668,0.045869,10.082077373524056,0.046572,0.041572,12.027326084864825,2.608405874570645,1.0290170552662232,3.317275443624602,0,0.37213048723370473,BAS_USDT,2026-06-28,21.078484881563156,1h
6,0.044394,0.047885,7.863675271433062,0.047978,0.044121,8.741868951293034,1.8502982204674958,1.0839996091696011,2.5541773181501375,0,0.36867932408369036,BAS_USDT,2026-06-29,30.356684079815015,1h
6,0.043163,0.046349,7.3813219655723685,0.046728,0.043088,8.447827701448194,1.5385957979445537,1.4854683281783563,4.021586957503495,0,0.34450117501332544,BAS_USDT,2026-07-01,40.64656331212474,1h
6,1.6825,1.6829,0.02377414561663928,1.7615,1.6485,6.854716408856536,1.9337606697324174,0.47703043060548833,-1.6921323572021931,0,0.17596859144628188,BEAT_USDT,2026-06-25,26.03221083455345,1h
6,1.9014,2.1631,13.763542652782162,2.19,1.8012,21.585609593604264,3.5331976831357212,0.8943689448113551,11.197810927707653,0,0.3182974405416531,BEAT_USDT,2026-06-26,26.874940288525856,1h
6,2.9267,2.9226,-0.14008952062048624,3.0114,2.8304,6.394855850763145,2.353387445469902,1.0147077256934245,1.746356460131988,0,0.3464189560633184,BEAT_USDT,2026-07-01,26.21749896822122,1h
6,0.275,0.2758,0.29090909090907907,0.2809,0.272,3.272058823529398,0.7110931461951915,2.1091242747088463,0.04808848280838213,0,0.5312596893536516,COAI_USDT,2026-06-29,20.058565153733536,1h
6,0.36279,0.37106,2.2795556658121776,0.37142,0.358,3.748603351955304,1.2348665497925773,0.9724605568598582,0.7194310790546293,0,0.3306653423360063,DN_USDT,2026-06-26,24.471074380165295,1h
6,0.30266,0.29141,-3.7170422255996773,0.30996,0.2655,16.745762711864405,2.152009780963304,0.9928322787314581,-2.643276710588982,0,0.3312481098270664,DN_USDT,2026-06-28,82.70012369676624,1h
6,0.29425,0.27377,-6.960067969413764,0.29949,0.26363,13.602397299245157,2.7188708893583087,0.6660298607182727,-1.9949423995504418,0,0.2584314722223636,DN_USDT,2026-07-01,30.235203463838857,1h
6,0.17838,0.1865,4.5520798295773,0.1865,0.17651,5.659735992295054,1.0008439937331945,1.024726430976431,2.198580238862691,0,0.36671343692078506,DYDX_USDT,2026-07-01,36.21705771155344,1h
