feature,moji_mean,moji_median,control_mean,control_median,diff_pct,direction
pre_change_pct,3.9097985929481722,4.336569579288032,0.04017516605867948,-0.24870827185643468,9631.879109690688,+
sma_slope_pct,2.5944770662482157,2.7776756160352902,-0.03897508396766855,-0.40195129421857667,6756.758118598134,+
vol_concentration,0.056682620243142356,0.03336707644145561,0.024422075257700373,0.01876276542450285,132.0958380687575,+
volume_ratio,1.9814015962609084,1.171615929034517,1.1443045047535,0.899349260728222,73.15335105560308,+
pre_range_pct,10.060385289688194,7.592701589170097,12.879370400081996,9.420799278003084,21.887600269465466,-
pre_volatility,2.5472063022738594,1.9035291130280583,2.975782408042936,2.2485135776200993,14.40213184306495,-
pre_close,1.0077222827692307,0.08267,0.88306327,0.08072,14.116656983052952,+
pre_low,0.9278700984615385,0.07866,0.8423010948484849,0.079035,10.158956712319824,+
pre_high,1.0169296893846156,0.08289,0.942636361060606,0.083245,7.881440966314789,+
staircase_score,0.19999999999999998,0.2,0.1969696969696969,0.2,1.538461538461563,+
