feature,moji_mean,moji_median,control_mean,control_median,diff_pct,direction
sma_slope_pct,0.0,0.0,0.0,0.0,inf,-
staircase_score,0.0,0.0,0.0,0.0,inf,-
pre_change_pct,1.68843115729055,1.287338090828798,-0.2332837030297726,-0.2905881100552208,823.7672993707002,+
pre_volatility,1.7396304247138736,1.0877855255478703,2.5396615553902335,1.9006976960126396,31.50148605346079,-
pre_close,0.7878720367741935,0.08236,1.0141159046969697,0.07797,22.309468461633152,-
pre_high,0.8819448291935486,0.085925,1.082239963787879,0.08653,18.507460572172022,-
pre_low,0.7351455206451614,0.07516500000000001,0.8720353424242423,0.076875,15.697737823163191,-
pre_range_pct,17.616620718207603,12.211411898911898,20.360141193801383,14.735704235236927,13.474958004854312,-
vol_concentration,0.6049038970899249,0.6327316945169328,0.6698125507405696,0.6986156127190766,9.690569933167016,-
volume_ratio,1.0,1.0,1.0,1.0,0.0,-
