feature,moji_mean,moji_median,control_mean,control_median,diff_pct,direction
staircase_score,0.0,0.0,0.0,0.0,inf,-
sma_slope_pct,1.552475279569531,1.5394569346243396,-0.023644143142282005,-0.2000477753666406,6666.003556260378,+
pre_change_pct,2.41573302011989,3.1898022214459134,-0.23497344364247563,-0.39173635036327015,1128.087677769899,+
volume_ratio,1.5302752516289544,1.0076305763661386,1.3119180332345655,0.9649748798452266,16.644120506219735,+
pre_range_pct,9.85682360556587,7.13253890243367,11.448066485282592,8.744651745359732,13.89966490640487,-
vol_concentration,0.37379446623729895,0.3454600655383219,0.3311715747017088,0.3103589127199503,12.87033513488626,+
pre_close,1.011718471875,0.08331,0.9564379231818183,0.08465,5.77983655324727,+
pre_high,1.03151658140625,0.08476500000000001,0.9998225324242423,0.08934500000000001,3.1699674646419367,+
pre_low,0.9414760565625,0.08105499999999999,0.9257787136363637,0.07977,1.6955826154696068,+
pre_volatility,2.3799239436560526,1.5752175103057087,2.3535985983591443,1.745944540222037,1.1185146573107896,+
