pre_bars,pre_open,pre_close,pre_change_pct,pre_high,pre_low,pre_range_pct,pre_volatility,pre_total_volume,pre_mean_volume,pre_volume_std,pre_volume_skew,volume_ratio_last1h_vs_avg,sma12_slope,staircase_score,volume_staircase_score,range_compression_ratio,symbol,pump_day,pump_gain_pct,pump_start_time,is_moji
72,0.69786,0.70403,0.8841314876909421,0.72544,0.66224,9.543367963276141,0.20816362537177333,570707.3,7926.490277777779,4850.051374612749,1.5286194712633905,1.3210477453962821,-0.4643429170647038,0.8,0.4,0.7590705743980787,VELVET_USDT,2026-06-27,158.35499497843682,2026-06-27 00:45:00+00:00,True
72,0.03157,0.03078,-2.5023756731073883,0.03472,0.03052,13.761467889908266,0.17098889467502232,2627075.0,36487.15277777778,97272.69672821427,5.6600452270231,1.1267056102882806,-0.710792827940032,0.2,0.6,0.6170258564372483,ESPORTS_USDT,2026-06-26,110.01615508885301,2026-06-26 01:05:00+00:00,True
72,0.08345,0.08741,4.745356500898748,0.0878,0.08345,5.2127022168963535,0.09457286469304468,285618.0,3966.9166666666665,6664.530051688502,3.0344833619522733,0.2496939709520536,1.2059476682436894,0.6,0.6,0.3784941190135082,MANTA_USDT,2026-06-28,88.80960875252704,2026-06-28 07:30:00+00:00,True
72,0.29551,0.29291,-0.8798348617644043,0.30996,0.27679,11.983814444163459,0.2260660904662631,1613288.0,22406.777777777777,1248.3527537555547,0.5992556803478679,0.9857465969332327,2.101647586111833,0.6,0.6,0.5426021644357489,DN_USDT,2026-06-28,82.70012369676624,2026-06-28 02:55:00+00:00,True
72,0.001006,0.00098,-2.5844930417495013,0.0012728,0.0009163,38.90647167958092,0.6251121022484908,53528020.0,743444.7222222222,416751.52010267886,1.1519261428509335,1.6843724380879717,4.557631883578612,0.4,0.6,9.560628674899156,MANA3_USDT,2026-06-27,81.34503520767427,2026-06-27 00:00:00+00:00,True
72,0.41859,0.42569,1.6961704770778079,0.42621,0.41032,3.872587248976399,0.05622281395268711,41138.0,571.3611111111111,638.7534141592956,3.479911681138883,1.1508328100236236,0.823965393453464,0.6,0.6,0.8917441579000129,MAGMA_USDT,2026-06-26,79.82645905146796,2026-06-26 04:40:00+00:00,True
72,0.4191,0.42754,2.0138391791935106,0.42951,0.3888,10.470679012345686,0.13808480922321856,3832521.0,53229.458333333336,33695.69008630934,1.2437311978577656,0.8216157344537509,3.8656419604756223,0.6,0.6,1.094217446943598,SLX_USDT,2026-06-27,64.18798334324805,2026-06-27 00:45:00+00:00,True
72,0.031643,0.032997,4.278987453781251,0.033063,0.030945,6.844401357246734,0.06496150725219071,960867.0,13345.375,24187.04887030614,3.5136215749159807,7.333956320711849,3.6332110381866447,0.8,0.2,2.470010930285656,BAS_USDT,2026-06-24,55.54218012481389,2026-06-24 07:15:00+00:00,True
72,0.16237,0.17036,4.920859764734881,0.17046,0.15248,11.791710388247637,0.12757871123023243,1708022.0,23722.527777777777,17169.42962456879,2.197156802454902,1.0219353574014909,3.455345898858262,0.6,0.8,0.842478160150229,GWEI_USDT,2026-06-29,52.17312348668279,2026-06-29 07:35:00+00:00,True
72,0.08425,0.08792,4.356083086053403,0.08818,0.08383,5.189073124179879,0.058432857066127164,3181135.0,44182.430555555555,54845.4168200418,4.503705648460402,3.165415938544056,1.9333954583353832,0.4,0.4,1.0608515998464338,UB_USDT,2026-06-29,45.7233368532207,2026-06-29 03:20:00+00:00,True
68,14.597,15.208,4.185791601013912,15.239,13.584,12.183451118963495,0.17251522725716745,75012.83999999998,1103.1299999999997,748.2368947164564,1.3279848808244485,0.5075981665938453,6.283017870049891,0.4,0.8,0.8323603352616844,LAB_USDT,2026-06-24,45.44084400904296,2026-06-24 05:40:00+00:00,True
72,0.08008,0.08267,3.234265734265728,0.08289,0.07866,5.3775743707093975,0.08594056094723417,786603.0,10925.041666666666,17424.079813994103,2.9361973424040526,2.192272314154623,0.07569630228747515,0.6,0.6,0.8084250828352787,MYX_USDT,2026-06-27,45.13118062563066,2026-06-27 00:40:00+00:00,True
72,0.008167,0.008337,2.0815476919309415,0.008386,0.007448,12.59398496240601,0.139040568163313,1865089.0,25904.01388888889,64717.59879890151,5.143937507013621,0.5055800006730361,6.887813366686589,0.8,0.6,0.7086622888848714,NFP_USDT,2026-06-05,44.72204871955028,2026-06-05 11:10:00+00:00,True
72,0.006601,0.007377,11.755794576579301,0.007383,0.006563,12.494286149626689,0.14547168989522297,6875268.0,95489.83333333333,118756.93602860175,4.466711455445907,3.06431400405323,8.136737495748982,1.0,0.6,1.1257772972834392,WARD_USDT,2026-06-29,42.68104776579353,2026-06-29 08:55:00+00:00,True
72,0.05625,0.058,3.111111111111114,0.06111,0.0505,21.009900990099,0.4242141418802642,2375313.0,32990.458333333336,41243.401814223645,3.5482064558224122,0.9266514465361727,6.132428055313335,0.6,0.4,1.3236820211499034,ESPORTS_USDT,2026-06-27,42.09787756533942,2026-06-27 01:25:00+00:00,True
72,0.4916,0.5299,7.790886899918645,0.5299,0.48165,10.017647669469534,0.08152498790504303,213734.5,2968.534722222222,4382.1999514733325,4.772932934274464,1.5814277884183106,4.93512126849865,1.0,0.6,1.4497723341601958,VELVET_USDT,2026-06-26,40.96888906161947,2026-06-26 12:20:00+00:00,True
72,0.043163,0.046349,7.3813219655723685,0.046728,0.043088,8.447827701448194,0.13100718502023218,2780394.0,38616.583333333336,31991.043917361236,1.21820101459297,1.310136955958308,4.586293847466268,0.6,0.4,1.50872615177574,BAS_USDT,2026-07-01,40.64656331212474,2026-07-01 03:00:00+00:00,True
72,0.03937,0.041827,6.240792481584965,0.041915,0.039345,6.531960859067233,0.1323852737516573,4678244.0,64975.61111111111,44525.14202349985,2.4609894250063746,0.9888100350732919,1.5353044162809033,0.4,0.8,0.7590614899446231,BAS_USDT,2026-06-25,39.81923048113654,2026-06-25 03:45:00+00:00,True
27,0.0002571,0.0002441,-5.0563982886036625,0.0002579,0.0002428,6.2191103789126805,0.1435414581361264,1876653.0,69505.66666666667,153419.30185706003,2.5903889263236444,1.496905683355094,0.0,1.0,0.6,3.2333435640786345,HOOLI_USDT,2026-06-24,38.81758070789576,2026-06-24 02:15:00+00:00,True
72,0.05728,0.06191,8.083100558659222,0.06191,0.05728,8.083100558659222,0.07855476208994709,32738.239999999998,454.69777777777773,1384.4364677677115,4.115393356775258,2.5603020773242933,4.759019633300161,0.8,0.6,10.227800287320774,RIF_USDT,2026-06-28,38.705882352941195,2026-06-28 08:00:00+00:00,True
72,0.06913,0.07252,4.90380442644294,0.07252,0.06788,6.83559222156748,0.045959202872147734,66751.2,927.0999999999999,3005.839546868447,5.525182681244194,26.34076921776724,1.7626209407031537,0.8,0.4,1.944517651835952,AIN_USDT,2026-06-25,38.1368059530624,2026-06-25 09:00:00+00:00,True
72,0.17828,0.18692,4.846309176576177,0.18723,0.17651,6.073310294034337,0.07526327377150041,447761.0,6218.902777777777,11728.676860835907,4.239127944035965,1.5578910984765266,2.3675011721452215,0.8,0.2,1.3335307984546318,DYDX_USDT,2026-07-01,36.21705771155344,2026-07-01 03:10:00+00:00,True
72,3.221,3.368,4.563800062092511,3.368,3.188,5.646173149309903,0.05859809183116308,47984.714,666.4543611111111,1514.7779817695898,3.5128997193397287,0.6445487261970896,1.7542072968913383,1.0,0.8,1.1718220351783182,ORDI_USDT,2026-06-29,35.74759092322039,2026-06-29 07:10:00+00:00,True
72,0.018558,0.01879,1.2501347127923244,0.019152,0.018274,4.804640472802892,0.06137079468236749,1563759.0,21718.875,31313.13424195313,2.1475632089517274,0.15085028478973783,-0.6546688223912567,1.0,0.6,0.3324106825461039,QAIT_USDT,2026-06-26,35.003173931443065,2026-06-26 01:35:00+00:00,True
72,0.007859,0.008238,4.822496500827088,0.008238,0.007825,5.277955271565498,0.05854524099097171,7713767.0,107135.65277777778,172027.23781761836,3.4803540444319947,1.4504167560029824,3.102574926129174,0.8,0.6,2.171287807889229,HFT_USDT,2026-07-01,32.17059197963083,2026-07-01 13:45:00+00:00,True
72,0.03435,0.03591,4.5414847161572025,0.03656,0.03398,7.592701589170097,0.08774711044916096,120022.0,1666.9722222222222,4240.871292925687,3.5115801695463316,2.0904815917576447,2.206495579860378,0.8,0.6,2.036890782885722,HIGH_USDT,2026-06-29,31.82339449541284,2026-06-29 04:05:00+00:00,True
72,0.30393,0.33543,10.36422860527096,0.33802,0.30291,11.5909015879304,0.19756313176734877,7546679.0,104814.98611111111,62773.545604501,2.1873400275349417,0.5198869205225355,0.8916428558476266,1.0,0.6,0.8298650547705432,SLX_USDT,2026-06-25,30.848313223343997,2026-06-25 04:35:00+00:00,True
72,0.0928,0.09532,2.7155172413793194,0.096,0.08565,12.084063047285461,0.13941047865178485,100505.45999999999,1395.9091666666666,3655.5538304788884,3.3161929805854435,2.184609558056855,5.632618350184273,0.8,0.6,1.2007024732450993,RIF_USDT,2026-07-01,30.763342082239724,2026-07-01 08:05:00+00:00,True
72,0.2892,0.296,2.3513139695712217,0.2978,0.2875,3.5826086956521848,0.07290371392233598,2149621.4299999997,29855.85319444444,18139.87989764338,0.9854926114598612,2.2308414230592692,0.2745053185405546,0.6,0.2,0.8438876309085793,SKYAI_USDT,2026-06-26,30.38368475630832,2026-06-26 02:10:00+00:00,True
72,0.044421,0.048711,9.657594381035985,0.048826,0.044352,10.08748196248196,0.09609549644557162,3341917.0,46415.51388888889,18841.704272361574,1.7103717987950593,1.105070842137069,3.400112587700594,0.8,0.6,1.099862337076528,BAS_USDT,2026-06-29,30.356684079815015,2026-06-29 01:35:00+00:00,True
72,0.29425,0.27377,-6.960067969413764,0.29949,0.26363,13.602397299245157,0.18343122972598588,2553439.0,35464.430555555555,10323.269377624363,0.716541968417913,0.7324254924032042,-2.286932862710506,0.6,0.6,0.9919437346633818,DN_USDT,2026-07-01,30.235203463838857,2026-07-01 00:00:00+00:00,True
72,0.0002273,0.0002219,-2.3757149142102927,0.0002357,0.0002005,17.556109725685793,0.22140418480576837,10610592.0,147369.33333333334,363859.1995083333,3.5295234070205823,2.9172272835262807,-3.214100570243651,1.0,0.6,2.1122820927320456,HOOLI_USDT,2026-06-25,29.90654205607476,2026-06-25 01:20:00+00:00,True
72,0.13398,0.13377,-0.15673981191221675,0.13625,0.13078,4.182596727328339,0.07176732852585604,872085.0,12112.291666666666,15357.504994175544,2.9529222111781337,1.029515473326143,-1.3212769654693,0.4,0.6,0.6495358379387046,GWEI_USDT,2026-06-28,29.73076334710113,2026-06-28 10:05:00+00:00,True
72,0.669,0.6912,3.318385650224215,0.6912,0.6634,4.190533614712097,0.07202239147578456,102329.79999999999,1421.247222222222,1463.244784232537,1.5897319505043421,1.5597118926341076,1.7510331219518223,0.8,0.4,0.8040466058821557,PIEVERSE_USDT,2026-06-27,29.360993337371283,2026-06-27 06:20:00+00:00,True
72,0.04985,0.04849,-2.728184553660983,0.04985,0.04648,7.2504302925989625,0.041958054610506376,410247.10000000003,5697.87638888889,25701.25140798002,8.2353337519396,0.23607895131158804,-1.5548336886272127,0.6,0.8,0.662138384918281,AIOT_USDT,2026-06-30,29.347162904209895,2026-06-30 03:50:00+00:00,True
72,0.07528,0.07486,-0.5579171094580283,0.07541,0.06707,12.434769643655882,0.17948360529841983,53799838.0,747219.9722222222,714980.9759004655,2.365839416271333,0.5269528480801603,4.038643907064965,0.8,0.6,0.628833791974662,H_USDT,2026-06-30,29.170135997779624,2026-06-30 01:30:00+00:00,True
72,0.0739,0.0773,4.600811907983762,0.0776,0.07254,6.975461814171505,0.0669260934576826,5505.15,76.46041666666666,216.83267162243456,3.6610468791266904,2.4464962518294477,4.342997030623125,0.8,0.4,0.0,RIF_USDT,2026-06-30,28.606191699337586,2026-06-30 10:45:00+00:00,True
72,0.06732,0.07171,6.5210932857991555,0.0728,0.06682,8.94941634241245,0.15827931295737416,6333282.0,87962.25,86527.84706390242,2.676357439570623,2.327449883307487,0.8143187340721914,0.6,0.6,1.6361410145956514,UB_USDT,2026-06-26,28.100358422939053,2026-06-26 03:40:00+00:00,True
72,0.06833,0.06473,-5.268549685350513,0.07128,0.05002,42.502998800479794,0.515663106550301,65589825.559999995,910969.7994444444,697235.2437603642,2.7094949334140237,0.9066002085450205,10.162578355325312,0.4,0.4,1.5163011157009985,H_USDT,2026-06-25,27.71587743732592,2026-06-25 04:05:00+00:00,True
