symbol,entry_time,entry_price,stake,amount,score,rules,tag,max_rate,peak_profit,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours,peak_profit_pct
WLD_USDT,2026-06-24 12:25:00+00:00,0.5493,1.0,1.8168578190424176,85.0,4,moji_medium,0.5493,0.0,2026-06-24 17:35:00+00:00,0.5048,stoploss,-8.10121973420717,-0.0828501729473875,5.166666666666667,0.0
MAGMA_USDT,2026-06-24 07:50:00+00:00,0.4143,1.0,2.40888245232923,100.0,4,moji_strong,0.43179,0.04221578566256337,2026-06-24 19:50:00+00:00,0.41081,stale_half_day,-0.8423847453536069,-0.01040699975862902,12.0,4.221578566256337
WXT_USDT,2026-06-24 14:00:00+00:00,0.0018,1.0,554.4444444444445,85.0,4,moji_medium,0.0018,0.0,2026-06-24 20:05:00+00:00,0.001708,dud_early,-5.111111111111103,-0.05300888888888877,6.083333333333333,0.0
TRX_USDT,2026-06-24 08:45:00+00:00,0.33087,1.0,3.016290385952187,70.0,3,moji_medium,0.33187,0.003022335056064318,2026-06-24 20:45:00+00:00,0.32727,stale_half_day,-1.0880406201831512,-0.012858645389427825,12.0,0.3022335056064318
GWEI_USDT,2026-06-24 17:50:00+00:00,0.12073,1.0,8.266379524558932,100.0,4,moji_strong,0.13648,0.13045639029238784,2026-06-24 23:20:00+00:00,0.13648,roi_120min,13.045639029238783,0.12819547751180305,5.5,13.045639029238783
GT_USDT,2026-06-24 13:15:00+00:00,6.72,1.0,0.14851190476190476,100.0,4,moji_strong,6.72,0.0,2026-06-25 01:15:00+00:00,6.53,stale_half_day,-2.827380952380945,-0.030217261904761816,12.0,0.0
EPIC_USDT,2026-06-24 19:05:00+00:00,0.4519,1.0,2.2084531976100905,135.0,6,moji_strong,0.4571,0.011506970568709852,2026-06-25 01:35:00+00:00,0.4293,dud_early,-5.001106439477762,-0.05191104226598808,6.5,1.1506970568709851
SEI_USDT,2026-06-24 20:00:00+00:00,0.05387,1.0,18.52608130684982,115.0,5,moji_strong,0.05662,0.05104882123630955,2026-06-25 03:45:00+00:00,0.05662,roi_360min,5.104882123630955,0.048946723593837005,7.75,5.104882123630955
KCT_USDT,2026-06-24 23:25:00+00:00,0.0012576,1.0,793.5750636132316,85.0,4,moji_medium,0.0012576,0.0,2026-06-25 05:25:00+00:00,0.0011916,dud_early,-5.2480916030534415,-0.0543759541984733,6.0,0.0
B_USDT,2026-06-24 17:35:00+00:00,0.22387,1.0,4.457944342698887,100.0,4,moji_strong,0.2277,0.01710814311877429,2026-06-25 05:35:00+00:00,0.2217,stale_half_day,-0.969312547460582,-0.011673739223656554,12.0,1.7108143118774288
