symbol,entry_time,entry_price,stake,amount,score,layers,max_rate,peak_profit_pct,signal_tag,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours
STG_USDT,2026-06-26 21:00:00+00:00,0.174,1.0,5.735632183908046,1160.4580171957248,"(np.True_, np.True_, np.True_)",0.1787,2.7011494252873622,v4_l111,2026-06-27 05:00:00+00:00,0.1652,dud_early,-5.057471264367801,-0.052473563218390584,8.0
ARIA_USDT,2026-06-26 09:00:00+00:00,0.02592,1.0,38.50308641975309,996.3782362590732,"(np.True_, np.True_, np.True_)",0.0279,7.638888888888899,v4_l111,2026-06-27 06:50:00+00:00,0.0259,stale_half_day,-0.07716049382715735,-0.0027700617283950013,21.833333333333332
TIA_USDT,2026-06-26 19:00:00+00:00,0.383,1.0,2.6057441253263707,881.0168427137403,"(np.True_, np.True_, np.True_)",0.3859,0.757180156657967,v4_l111,2026-06-27 07:00:00+00:00,0.3772,stale_half_day,-1.514360313315934,-0.017113315926893025,12.0
MIRA_USDT,2026-06-27 02:00:00+00:00,0.04631,1.0,21.550421075361694,716.1956344798665,"(np.True_, np.True_, np.True_)",0.04633,0.0431872165839044,v4_l111,2026-06-27 10:00:00+00:00,0.04394,dud_early,-5.117685165191097,-0.05307449794860719,8.0
PRO_USDT,2026-06-27 00:00:00+00:00,0.3785,1.0,2.6367239101717304,1007.6816194170154,"(np.True_, np.True_, np.True_)",0.3796,0.29062087186261293,v4_l111,2026-06-27 12:00:00+00:00,0.3746,stale_half_day,-1.0303830911492773,-0.012283223249669795,12.0
USELESS_USDT,2026-06-27 04:00:00+00:00,0.08178,1.0,12.203472731719247,675.3255127735756,"(np.True_, np.True_, np.True_)",0.08272,1.1494252873563173,v4_l111,2026-06-27 12:00:00+00:00,0.0776,dud_early,-5.111274150158967,-0.05301051601858642,8.0
JTO_USDT,2026-06-26 05:00:00+00:00,0.7211,1.0,1.3839966717514909,711.9524665175192,"(np.True_, np.True_, np.True_)",0.8825,22.382471224518095,v4_l111,2026-06-27 12:30:00+00:00,0.7927,pullback_exit,9.929274719179032,0.09709416169740681,31.5
AAVE_USDT,2026-06-24 13:00:00+00:00,76.6,1.0,0.013028720626631855,695.6813546063677,"(np.True_, np.True_, np.True_)",97.85,27.741514360313317,v4_l111,2026-06-27 13:00:00+00:00,96.57,max_hold_3d,26.070496083550914,0.25818355091383816,72.0
SKYAI_USDT,2026-06-26 03:00:00+00:00,0.3171,1.0,3.1472721538946704,772.2494668822478,"(np.True_, np.True_, np.True_)",0.386,21.728161463260808,v4_l111,2026-06-27 13:30:00+00:00,0.3454,pullback_exit,8.924629454430777,0.08706780195521913,34.5
HIGH_USDT,2026-06-27 12:00:00+00:00,0.03654,1.0,27.312534209085932,259.87494431566284,"(np.True_, np.True_, np.True_)",0.03677,0.6294471811713028,v4_l111,2026-06-27 20:00:00+00:00,0.03408,dud_early,-6.7323481116584665,-0.06918883415435151,8.0
DYDX_USDT,2026-06-26 15:00:00+00:00,0.15097,1.0,6.610584884414123,673.9876087846035,"(np.True_, np.True_, np.True_)",0.16397,8.610982314367101,v4_l111,2026-06-27 20:10:00+00:00,0.15186,stale_dud,0.5895210969066714,0.0038834205471285355,29.166666666666668
TRADOOR_USDT,2026-06-27 06:00:00+00:00,0.4229,1.0,2.359895956490896,618.7526663202027,"(np.True_, np.True_, np.True_)",0.4704,11.23196973279735,v4_l111,2026-06-28 02:55:00+00:00,0.4213,stale_half_day,-0.3783400331047506,-0.005775833530385466,20.916666666666668
PUMP_USDT,2026-06-27 16:00:00+00:00,0.0014014,1.0,712.1449978592836,894.297092099653,"(np.True_, np.True_, np.True_)",0.0014433,2.9898672755815685,v4_l111,2026-06-28 04:05:00+00:00,0.0013967,stale_half_day,-0.33537890680746707,-0.0053470814899385655,12.083333333333334
PIEVERSE_USDT,2026-06-28 03:00:00+00:00,0.8436,1.0,1.1830251303935515,533.4964564274537,"(np.True_, np.True_, np.True_)",0.8931,5.867709815078235,v4_l111,2026-06-28 04:55:00+00:00,0.7732,stoploss,-8.345187292555716,-0.08528496917970596,1.9166666666666667
PEAQ_USDT,2026-06-27 18:00:00+00:00,0.021635,1.0,46.12895770741853,539.8243878538296,"(np.True_, np.True_, np.True_)",0.021735,0.4622140050843512,v4_l111,2026-06-28 06:00:00+00:00,0.021052,stale_half_day,-2.694707649641785,-0.028893182343424972,12.0
B_USDT,2026-06-26 11:00:00+00:00,0.22522,1.0,4.431222804369061,1037.0162692136644,"(np.True_, np.True_, np.True_)",0.2468,9.581742296421272,v4_l111,2026-06-28 06:10:00+00:00,0.2269,stale_dud,0.7459373057454876,0.005444454311339886,43.166666666666664
HMSTR_USDT,2026-06-26 07:00:00+00:00,0.0001702,1.0,5863.689776733256,865.6162275455576,"(np.True_, np.True_, np.True_)",0.0001882,10.57579318448884,v4_l111,2026-06-28 07:30:00+00:00,0.0001784,medium_2d,4.8178613396004755,0.04608225616921269,48.5
MYX_USDT,2026-06-28 01:00:00+00:00,0.10721,1.0,9.308833131237758,1198.6752855880677,"(np.True_, np.True_, np.True_)",0.11715,9.271523178807952,v4_l111,2026-06-28 10:05:00+00:00,0.10154,dud_early,-5.288685756925655,-0.05478108385411806,9.083333333333334
HNT_USDT,2026-06-27 10:00:00+00:00,0.2615,1.0,3.8164435946462714,614.1367503209951,"(np.True_, np.True_, np.True_)",0.2932,12.122370936902488,v4_l111,2026-06-28 10:30:00+00:00,0.2625,stale_dud,0.382409177820268,0.0018164435946461666,24.5
KGEN_USDT,2026-06-27 08:00:00+00:00,0.18768,1.0,5.317561807331628,490.6893879052277,"(np.True_, np.True_, np.True_)",0.23094,23.049872122762142,v4_l111,2026-06-28 13:20:00+00:00,0.20733,pullback_exit,10.469948849104844,0.10249008951406635,29.333333333333332
ARC_USDT,2026-06-27 14:00:00+00:00,0.08476,1.0,11.774421897121284,605.9795086395493,"(np.True_, np.True_, np.True_)",0.08874,4.6956111373289255,v4_l111,2026-06-28 15:10:00+00:00,0.08553,stale_dud,0.9084473808400104,0.007066304860783301,25.166666666666668
ZORA_USDT,2026-06-28 05:00:00+00:00,0.007497,1.0,133.11991463251968,367.3523131222278,"(np.True_, np.True_, np.True_)",0.007817,4.268374016273164,v4_l111,2026-06-28 17:00:00+00:00,0.007415,stale_half_day,-1.0937708416700076,-0.01291583299986665,12.0
FUN_USDT,2026-06-28 07:00:00+00:00,0.02407,1.0,41.46240132945575,852.471586116292,"(np.True_, np.True_, np.True_)",0.0262,8.849189862899873,v4_l111,2026-06-28 19:00:00+00:00,0.02366,stale_half_day,-1.7033651848774434,-0.018999584545076886,12.0
PUMP_USDT,2026-06-28 09:00:00+00:00,0.0014742,1.0,676.9773436440104,865.3422552876013,"(np.True_, np.True_, np.True_)",0.001513,2.631935965269304,v4_l111,2026-06-28 21:00:00+00:00,0.0014303,stale_half_day,-2.9778863112196396,-0.03171930538597201,12.0
VVV_USDT,2026-06-28 11:00:00+00:00,13.7272,1.0,0.07270237193309634,417.7564481178367,"(np.True_, np.True_, np.True_)",13.8746,1.073780523340516,v4_l111,2026-06-28 23:00:00+00:00,13.2475,stale_half_day,-3.494521825281189,-0.036875327816306314,12.0
ARIA_USDT,2026-06-28 16:00:00+00:00,0.02642,1.0,37.77441332323997,610.4194181049363,"(np.True_, np.True_, np.True_)",0.02701,2.2331566994700998,v4_l111,2026-06-29 04:00:00+00:00,0.02634,stale_half_day,-0.30280090840272605,-0.005021953065859175,12.0
VELVET_USDT,2026-06-28 18:00:00+00:00,1.80636,1.0,0.5524923049668947,611.0167977410274,"(np.True_, np.True_, np.True_)",2.07214,14.713567616643422,v4_l111,2026-06-29 04:45:00+00:00,1.39556,stoploss,-22.741867623286613,-0.2289638388804004,10.75
