feature,moji_mean,moji_median,control_mean,control_median,diff_pct,direction
sma_slope_pct,2.6530446772045293,2.9703738172793477,0.9765499767889988,-0.3619326467443472,171.6752588462523,+
pre_change_pct,3.441863964956722,3.9925851989162937,1.3636675910729978,0.14850351922248417,152.39757749529718,+
vol_concentration,0.13748006301509286,0.09526678559574923,0.07454484849870156,0.06358730202803321,84.42597414023521,+
volume_ratio,1.829265807896905,1.042120435007199,1.202337226715823,0.9361306724176399,52.14249107910713,+
pre_high,1.016050743076923,0.08241,1.1310148681818182,0.08529999999999999,10.1646873387003,-
pre_low,0.9278094369230768,0.07866,1.0321608656060606,0.07844000000000001,10.109996625546449,-
pre_close,1.0025788038461538,0.08152,1.0847568545454547,0.08296999999999999,7.575711585038649,-
pre_range_pct,9.831769107395202,7.2504302925989625,10.305872472314974,8.298341810889951,4.600322449102419,-
pre_volatility,2.3934375706229405,1.6848685139768296,2.456450996396302,1.9387324625824778,2.565222178899743,-
staircase_score,0.19692307692307687,0.2,0.1969696969696969,0.2,0.023668639053250264,-
