pair,entry_time,exit_time,entry_price,exit_price,profit_pct,profit_usd,hold_hours,max_profit_pct,max_adverse_pct,exit_reason,entry_tag
KGEN/USDT,2026-06-26T03:45:00+00:00,2026-06-27T09:45:00+00:00,0.18507,0.1919,-4.097876479170033,-0.04097876479170033,30.0,4.364743698189821,3.912033284703087,failed_short,inverse_breakout_short
AIA/USDT,2026-06-27T09:45:00+00:00,2026-06-27T10:05:00+00:00,0.05361,0.0557544,-4.408000000000004,-0.044080000000000036,0.3333333333333333,1.3613159387407814,4.458123484424559,stop_or_ratchet,inverse_breakout_short
PIEVERSE/USDT,2026-06-27T12:15:00+00:00,2026-06-27T15:10:00+00:00,0.7734,0.804336,-4.408000000000015,-0.04408000000000015,2.9166666666666665,2.7364505844845954,5.301267132143783,stop_or_ratchet,inverse_breakout_short
STG/USDT,2026-06-26T20:35:00+00:00,2026-06-27T18:45:00+00:00,0.1751,0.1751,-0.4000000000000111,-0.004000000000000111,22.166666666666668,10.963244613434743,2.7412906910337043,stop_or_ratchet,inverse_breakout_short
EIGEN/USDT,2026-06-27T12:55:00+00:00,2026-06-28T00:10:00+00:00,0.2326,0.2415,-4.233963886500427,-0.04233963886500427,11.25,0.17226528854437095,3.8263112639724817,failed_short,inverse_breakout_short
CYS/USDT,2026-06-27T22:10:00+00:00,2026-06-28T02:30:00+00:00,0.3358,0.349232,-4.408000000000004,-0.044080000000000036,4.333333333333333,1.4808099123602148,4.020250148898152,stop_or_ratchet,inverse_breakout_short
BAS/USDT,2026-06-28T06:25:00+00:00,2026-06-28T06:55:00+00:00,0.051099,0.05314296,-4.408000000000004,-0.044080000000000036,0.5,1.912644595133628,4.344507720307633,stop_or_ratchet,inverse_breakout_short
OPN/USDT,2026-06-28T03:15:00+00:00,2026-06-28T08:50:00+00:00,0.06503,0.0676312,-4.408000000000004,-0.044080000000000036,5.583333333333333,1.6888193901485549,4.966938336152538,stop_or_ratchet,inverse_breakout_short
GRASS/USDT,2026-06-27T07:45:00+00:00,2026-06-28T12:55:00+00:00,0.5157,0.4958,3.4665503199534613,0.03466550319953461,29.166666666666668,6.659772492244076,3.432228039557872,time_take_profit,inverse_breakout_short
EDGEX/USDT,2026-06-27T13:30:00+00:00,2026-06-28T13:30:00+00:00,0.3112,0.2906,6.232776349614387,0.06232776349614386,24.0,7.718933887158186,2.3778920308483276,time_take_profit,inverse_breakout_short
