pair,entry_time,exit_time,entry_price,exit_price,profit_pct,profit_usd,hold_hours,max_profit_pct,exit_reason,entry_tag
B2/USDT,2026-06-29T07:45:00+00:00,2026-06-30T13:05:00+00:00,0.5433,0.499836,-8.384000000000007,-0.08384000000000007,29.333333333333332,4.214982514264687,stop_or_ratchet,demon_breakout
FARTCOIN/USDT,2026-06-29T01:45:00+00:00,2026-06-30T13:45:00+00:00,0.13685,0.13606,-0.9761198392400481,-0.00976119839240048,36.0,7.292656192911928,stale_weak,demon_breakout
ORCA/USDT,2026-06-29T04:25:00+00:00,2026-06-30T16:25:00+00:00,1.2241,1.1691,-4.884110775263456,-0.04884110775263456,36.0,7.0174005391716365,stale_weak,demon_breakout
MEGA/USDT,2026-06-30T04:30:00+00:00,2026-06-30T16:30:00+00:00,0.05098,0.04704,-8.113063946645733,-0.08113063946645732,12.0,1.8438603373872153,stale_no_followthrough,demon_breakout
PYTH/USDT,2026-06-30T13:05:00+00:00,2026-06-30T19:15:00+00:00,0.03816,0.03816,-0.4,-0.004,6.166666666666667,12.78825995807129,stop_or_ratchet,demon_breakout
RIF/USDT,2026-06-30T16:45:00+00:00,2026-06-30T19:15:00+00:00,0.09322,0.0857624,-8.383999999999984,-0.08383999999999985,2.5,2.0489165415147115,stop_or_ratchet,demon_breakout
SKR/USDT,2026-06-30T14:15:00+00:00,2026-07-01T02:15:00+00:00,0.008981,0.008598,-4.656029395390266,-0.046560293953902654,12.0,0.623538581449723,stale_no_followthrough,demon_breakout
B2/USDT,2026-06-30T19:20:00+00:00,2026-07-01T03:45:00+00:00,0.5412,0.497904,-8.384000000000007,-0.08384000000000007,8.416666666666666,1.4966740576496607,stop_or_ratchet,demon_breakout
ENSO/USDT,2026-06-29T16:00:00+00:00,2026-07-01T04:00:00+00:00,0.6331,0.6255,-1.5980413836676748,-0.015980413836676748,36.0,5.291423155899544,stale_weak,demon_breakout
DYDX/USDT,2026-07-01T04:00:00+00:00,2026-07-01T07:05:00+00:00,0.20705,0.20705,-0.4,-0.004,3.0833333333333335,18.328906061337836,stop_or_ratchet,demon_breakout
ATH/USDT,2026-07-01T04:05:00+00:00,2026-07-01T16:05:00+00:00,0.004358,0.004386,0.24121156493804255,0.0024121156493804256,12.0,1.2391005048187242,stale_no_followthrough,demon_breakout
CYS/USDT,2026-06-30T20:10:00+00:00,2026-07-01T19:30:00+00:00,0.3637,0.334604,-8.384000000000007,-0.08384000000000007,23.333333333333332,7.231234533956554,stop_or_ratchet,demon_breakout
